PATH: D:\Program\dzh365(64)\data\SH\INFOEX.DAT
SIZE: 5252120
TOTAL_6DIGIT_CODES: 26610
UNIQUE_CODES: 26610

TOP 200 CODES BY FIRST OCCURRENCE:
0000: ba 12 0a 4b be a8 19 48 00 00 00 00 00 00 00 00
0010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0020: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0030: 00 00 00 00 00 00 00 00 00 00 80 3f 00 00 00 00
0040: 30 30 30 30 30 37 00 00 da 03 00 80 da 27 35 01
0050: 16 27 35 01 00 00 00 00 1b ba 59 3d b0 55 c2 3f
0060: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0070: 70 9e 02 42 b0 92 08 c0 e2 02 25 40 a5 34 a2 41
0080: 00 00 00 00 a3 ea 40 4f 29 d5 27 4e 63 bc b1 4e
0090: 00 00 00 00 1a b6 48 4e 84 e8 24 4e 6a 3c d5 4e
00a0: 47 fc 7b 4e 00 00

=== CODE 000008 occurrence 1 at 1628 (context_start=1564) ===
0000: ef ac 65 4c 05 01 9f 48 00 00 00 00 00 00 00 00
0010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0020: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0030: 00 00 00 00 00 00 00 00 00 00 80 3f 00 00 00 00
0040: 30 30 30 30 30 38 00 00 da 03 00 80 da 27 35 01
0050: 16 27 35 01 00 00 00 00 8b 88 02 3e 5b cf 08 40
0060: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0070: 74 c7 89 41 c4 12 8b 41 c7 a0 f2 40 3f b4 b6 41
0080: 00 00 00 00 53 e4 da 50 66 d3 ef 4e e3 53 af 4e
0090: 00 00 00 00 2a 77 df 4e b4 f4 0b 4f 6e de b0 50
00a0: 2d cb 96 4f 00 00

=== CODE 000009 occurrence 1 at 1852 (context_start=1788) ===
0000: 6a 9e 1f 4d 72 2e 15 47 00 00 00 00 00 00 00 00
0010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0020: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0030: 00 00 00 00 00 00 00 00 00 00 80 3f 00 00 00 00
0040: 30 30 30 30 30 39 00 00 da 03 00 80 da 27 35 01
0050: 16 27 35 01 00 00 00 00 f2 60 2b 3e dc 81 57 40
0060: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0070: ee 3e 0b 42 b5 68 9c 41 88 77 fd 40 ba e0 81 41
0080: 00 00 00 00 6a 5b f2 4f 1b 4b 3c 4f 13 a6 a0 4e
0090: 00 00 00 00 65 1f 0b 4f f3 4c 52 4e 02 b2 95 4f
00a0: 6e bc 28 4f 00 00

=== CODE 000010 occurrence 1 at 2076 (context_start=2012) ===
0000: cd 30 91 4c 82 36 96 48 00 00 00 00 00 00 00 00
0010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0020: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0030: 00 00 00 00 00 00 00 00 00 00 80 3f 00 00 00 00
0040: 30 30 30 30 31 30 00 00 da 03 00 80 da 27 35 01
0050: 16 27 35 01 00 00 00 00 20 b4 2e 3e a1 be 21 40
0060: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
